メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 オープン 2WD,2009,6MT,59,AP2,5 - すごくきれい,459 ～ 462,2023/7/1,ベースグレード,2000,6.6,白,AC 革
ホンダ,S2000 オープン 2WD,2004,6MT,58,AP1,5 - すごくきれい,392 ～ 398,2024/3/1,,2000,6.9,青,AC
ホンダ,S2000 2WD,2000,6MT,57,AP1,5 - すごくきれい,256 ~ 260,2024/4/1,,2000,,黒,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2004,6MT,57,AP1,5 - すごくきれい,300 ~ 306,2024/4/1,タイプV,2000,7.9,パール,AC AW
ホンダ,S2000 2WD,1999,6MT,57,AP1,4 - きれい,217 ～ 221,2023/7/1,タイプＶ,2200,,青,AC NV 革
ホンダ,S2000 オープン 2WD,2007,6MT,57,AP2,5 - すごくきれい,343 ～ 348,2023/6/1,タイプＳ,2200,,白,AC AW
ホンダ,S2000 オープン 2WD,2007,6MT,56,AP2,5 - すごくきれい,427 ～ 430,2023/8/1,,2000,6.1,グレー,AC 革
ホンダ,S2000 オープン 2WD,2008,6MT,56,AP2,4 - きれい,377 ～ 379,2023/6/1,ベースグレード,2000,,シルバー,AC AW
ホンダ,S2000 オープン 2WD,2009,6MT,54,AP2,4 - きれい,424 ～ 428,2023/8/1,ベースグレード,2000,,パープル,AC
ホンダ,S2000 2WD,2002,6MT,53,AP1,4 - きれい,231 ～ 233,2023/7/1,,2000,,ライトブルー,革
ホンダ,S2000 オープン 2WD,2009,6MT,52,AP2,4 - きれい,347 ~ 353,2024/3/1,ベースグレード,2200,,グレー,AC NV TV AW 革
ホンダ,S2000 2WD,2004,6MT,51,AP1,5 - すごくきれい,312 ～ 317,2024/3/1,タイプＶ,2000,,白,AC
ホンダ,S2000 2WD,2006,6MT,50,AP2,5 - すごくきれい,362 ～ 367,2023/10/1,,2000,7.3,青,AC AW 革
ホンダ,S2000 オープン 2WD,2006,6MT,50,AP2,4 - きれい,318 ～ 321,2023/7/1,,2000,5.6,白,AC 革
ホンダ,S2000 オープン 2WD,2006,6MT,49,AP2,4 - きれい,327 ～ 331,2023/6/1,タイプＶ,2000,,紺,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2005,6MT,48,AP1,5 - すごくきれい,370 ～ 375,2024/3/1,2000,,6.9,黄,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2006,6MT,48,AP2,5 - すごくきれい,328 ～ 332,2024/1/1,ベースグレード,2000,7.4,シルバー,AC AW
ホンダ,S2000 2WD,2008,6MT,48,AP2,5 - すごくきれい,318 ～ 322,2023/6/1,ベースグレード,2000,,グレー,AC NV TV AW SR 革
ホンダ,S2000 2WD,2006,6MT,47,AP2,4 - きれい,308 ～ 313,2023/12/1,,2000,5.12,赤,AC AW
ホンダ,S2000 2WD,2006,6MT,46,AP2,5 - すごくきれい,350 ～ 353,2023/10/1,,2000,,グレー,AC
ホンダ,S2000 オープン 2WD,2009,6MT,45,AP2,5 - すごくきれい,397 ～ 402,2024/1/1,,2000,,グレー,AC 革
ホンダ,S2000 オープン 2WD,2001,6MT,45,AP1,4 - きれい,228 ～ 230,2023/7/1,,2000,,青,AC
ホンダ,S2000 2WD,2007,6MT,43,AP2,4 - きれい,337 ～ 340,2024/3/1,ベースグレード,2200,,白,AC AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,43,AP2,4 - きれい,417 ～ 421,2023/11/1,ベースグレード,2000,,黒,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2007,6MT,42,AP2,5 - すごくきれい,349 ～ 354,2024/3/1,ベースグレード,2000,6.12,グレー,AC NV AW
ホンダ,S2000 オープン 2WD,2009,6MT,42,AP2,5 - すごくきれい,400 ～ 403,2023/12/1,ベースグレード,2000,,黒,AC
ホンダ,S2000 オープン 2WD,2003,6MT,41,AP1,5 - すごくきれい,351 ～ 354,2024/3/1,タイプＶ,2000,,シルバー,AC AW
ホンダ,S2000 オープン 2WD,2006,6MT,41,AP2,5 - すごくきれい,296 ～ 302,2023/6/1,ベースグレード,2200,6.2,パール,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2009,6MT,39,AP2,4 - きれい,423 ～ 427,2023/6/1,タイプＳ,2200,6.6,青,AC AW
ホンダ,S2000 オープン 2WD,2007,6MT,37,AP2,5 - すごくきれい,380 ～ 383,2023/7/1,タイプＶ,2000,,赤,AC AW SR 革
ホンダ,S2000 オープン 2WD,2008,6MT,36,AP2,5 - すごくきれい,529 ～ 535,2024/2/1,ベースグレード,2200,,茶,AC NV AW
ホンダ,S2000 2WD,2000,6MT,35,AP1,5 - すごくきれい,297 ~ 301,2024/4/1,,2000,6.12,グレー,AC NV TV AW 革
ホンダ,S2000 2WD,2002,6MT,35,AP1,5 - すごくきれい,261 ～ 264,2023/7/1,ベースグレード,2000,7.1,シルバー,AC AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,35,AP1,5 - すごくきれい,265 ～ 270,2023/6/1,,2000,,グレー,AC AW
ホンダ,S2000 オープン 2WD,1999,6MT,31,AP1,5 - すごくきれい,284 ～ 286,2024/3/1,ベースグレード,2000,,赤,AC
ホンダ,S2000 オープン 2WD,2007,6MT,31,AP2,5 - すごくきれい,390 ～ 394,2024/2/1,ベースグレード,2000,7.8,黒,AC
ホンダ,S2000 2WD,2007,6MT,29,AP2,5 - すごくきれい,469 ～ 474,2024/3/1,,2000,,白,AC
ホンダ,S2000 2WD,1999,6MT,29,AP1,4 - きれい,261 ～ 264,2023/6/1,,2000,6.7,グレー,AC
ホンダ,S2000 オープン 2WD,2009,6MT,28,AP2,4 - きれい,467 ～ 471,2024/2/1,,2000,,赤,AC NV AW 革
ホンダ,S2000 2WD,2006,6MT,26,AP2,5 - すごくきれい,385 ～ 389,2023/8/1,,2000,5.11,シルバー,AC 革
ホンダ,S2000 オープン 2WD,1999,6MT,24,AP1,4 - きれい,220 ～ 224,2023/6/1,タイプＳ,2200,,黒,AC
ホンダ,S2000 オープン 2WD,2007,6MT,22,AP2,5 - すごくきれい,429 ～ 432,2024/1/1,ベースグレード,2000,6.5,白,AC
ホンダ,S2000 2WD,2009,6MT,22,AP2,5 - すごくきれい,448 ～ 453,2023/11/1,,2000,,黒,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2007,6MT,21,AP2,5 - すごくきれい,382 ~ 386,2024/3/1,ベースグレード,2200,,ワイン,AC AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,20,AP2,5 - すごくきれい,442 ～ 447,2023/9/1,,2200,6.8,パープル,AC AW 革
ホンダ,S2000 オープン 2WD,2006,6MT,18,AP2,5 - すごくきれい,401 ～ 405,2023/6/1,ベースグレード,2000,6.7,青,AC 革
ホンダ,S2000 2WD,2001,6MT,17,AP1,4 - きれい,270 ~ 274,2024/4/1,,2000,,グレー,AC AW 革
ホンダ,S2000 オープン 2WD,2003,6MT,17,AP1,5 - すごくきれい,305 ～ 309,2023/10/1,ベースグレード,2000,6.11,赤,AC
ホンダ,S2000 2WD,2007,6MT,14,AP2,5 - すごくきれい,368 ～ 372,2023/9/1,,2000,,白,AC
ホンダ,S2000 2WD,2004,6MT,7,AP1,5 - すごくきれい,425 ～ 430,2023/10/1,,2200,7.3,白,AC
ホンダ,S2000 オープン 2WD,2004,6MT,5,AP1,5 - すごくきれい,355 ～ 360,2023/7/1,,2000,,グレー,AC 革
