メーカー,車種,年式,シフト,走行,型式,評価,価格(万円),更新年月,グレード,排気量,車検,色,装備
ホンダ,S2000 オープン 2WD,2002,6MT,178,AP1,3 - 普通,120 ～ 122,2023/9/1,ベースグレード,2000,,青,AC
ホンダ,S2000 オープン 2WD,2000,6MT,175,AP1,3 - 普通,106 ～ 109,2023/9/1,,2000,,シルバー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2002,6MT,173,AP1,3 - 普通,134 ～ 138,2023/7/1,タイプＶ,2000,,シルバー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,173,AP1,3 - 普通,200 ～ 203,2023/6/1,ベースグレード,2200,6.12,オレンジ,AC NV
ホンダ,S2000 2WD,2002,6MT,172,AP1,3 - 普通,105 ～ 111,2023/9/1,タイプＶ,2000,,青,AC AW
ホンダ,S2000 2WD,1999,6MT,171,AP1,3 - 普通,181 ～ 185,2024/2/1,,2000,7.9,黒,AC NV TV AW SR 革
ホンダ,S2000 2WD,2000,6MT,171,AP1,3 - 普通,130 ～ 132,2023/7/1,ベースグレード,2000,6.1,青,AC
ホンダ,S2000 2WD,2006,6MT,169,AP2,3 - 普通,189 ~ 192,2024/3/1,,2200,6.9,白,AC NV TV AW 革
ホンダ,S2000 2WD,2007,6MT,168,AP2,3 - 普通,214 ～ 217,2023/8/1,ベースグレード,2000,6.11,黒,AC NV 革
ホンダ,S2000 2WD,2001,6MT,167,AP1,3 - 普通,118 ～ 121,2023/8/1,,2000,6.11,ライトブルー,AC 革
ホンダ,S2000 2WD,1999,6MT,164,AP1,3 - 普通,108 ~ 114,2024/4/1,,2000,6.11,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,161,AP1,3 - 普通,141 ~ 145,2024/3/1,,2000,6.9,シルバー,AC 革
ホンダ,S2000 オープン 2WD,2001,6MT,160,AP1,3 - 普通,149 ～ 152,2023/10/1,タイプＳ,2200,5.12,白,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,158,AP1,3 - 普通,142 ~ 146,2024/3/1,ベースグレード,2000,6.8,白,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,158,AP1,3 - 普通,160 ～ 164,2023/7/1,ベースグレード,2200,,青,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,157,AP1,3 - 普通,156 ～ 158,2023/9/1,タイプＶ,2000,,パープル,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,156,AP1,3 - 普通,184 ~ 187,2024/4/1,,2000,8.1,白,AC AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,156,AP1,3 - 普通,197 ～ 200,2024/2/1,タイプＶ,2000,7.1,グレー,AC
ホンダ,S2000 2WD,2009,6MT,156,AP2,3 - 普通,219 ～ 221,2023/9/1,,2000,6.1,シルバー,AC
ホンダ,S2000 2WD,2000,6MT,154,AP1,3 - 普通,105 ～ 109,2023/11/1,タイプＳ,2200,7.1,白,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2001,6MT,147,AP1,3 - 普通,149 ～ 154,2023/6/1,ベースグレード,2000,,黄,AC NV TV AW 革
ホンダ,S2000 2WD,2004,6MT,144,AP1,3 - 普通,182 ～ 187,2023/9/1,,2000,6.3,ライトブルー,AC
ホンダ,S2000 2WD,2000,6MT,141,AP1,3 - 普通,131 ~ 136,2024/3/1,,2000,7.1,青,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,139,AP1,3 - 普通,135 ～ 138,2023/7/1,,2200,,白,AC SR 革
ホンダ,S2000 オープン 2WD,2009,6MT,138,AP2,3 - 普通,289 ~ 291,2024/3/1,タイプS,2200,8.1,シルバー,AC NV AW
ホンダ,S2000 オープン 2WD,2003,6MT,137,AP1,3 - 普通,166 ~ 172,2024/4/1,タイプV,2000,7.4,シルバー,AC
ホンダ,S2000 オープン 2WD,2002,6MT,136,AP1,3 - 普通,143 ～ 147,2023/9/1,,2000,,白,AC
ホンダ,S2000 オープン 2WD,2003,6MT,132,AP1,3 - 普通,150 ～ 154,2023/7/1,,2200,6.3,黒,AC 革
ホンダ,S2000 2WD,1999,6MT,119,AP1,3 - 普通,145 ～ 147,2023/9/1,,2000,7.4,白,AC
ホンダ,S2000 2WD,2002,6MT,118,AP1,3 - 普通,149 ～ 153,2023/10/1,ベースグレード,2000,,赤,AC 革
ホンダ,S2000 2WD,1999,6MT,118,AP1,3 - 普通,114 ～ 118,2023/9/1,,2000,6.11,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,117,AP1,3 - 普通,135 ～ 140,2023/10/1,,2000,,黒,AC 革
ホンダ,S2000 2WD,2002,6MT,116,AP1,3 - 普通,160 ～ 164,2023/6/1,,2200,5.12,ガンＭ,AC AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,114,AP1,3 - 普通,131 ~ 134,2024/4/1,ベースグレード,2000,7.1,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,114,AP1,3 - 普通,139 ～ 144,2023/8/1,タイプＳ,2200,7.3,シルバー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,112,AP1,3 - 普通,154 ～ 158,2023/9/1,,2000,,黒,AC AW 革
ホンダ,S2000 2WD,1999,6MT,112,AP1,3 - 普通,99 ～ 102,2023/7/1,,2000,6.4,シルバー,AC 革
ホンダ,S2000 オープン 2WD,2001,6MT,109,AP1,3 - 普通,155 ～ 160,2023/8/1,,2200,,白,AC AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,108,AP1,3 - 普通,163 ～ 169,2023/7/1,,2000,,青,AC
ホンダ,S2000 オープン 2WD,2009,6MT,104,AP2,3 - 普通,328 ～ 334,2023/7/1,タイプＶ,2000,6.2,グレー,AC
ホンダ,S2000 オープン 2WD,1999,6MT,103,AP1,3 - 普通,157 ～ 161,2023/6/1,ベースグレード,2000,6.8,白,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2008,6MT,99,AP2,3 - 普通,307 ～ 312,2023/10/1,ベースグレード,2200,6.2,黄,AC 革
ホンダ,S2000 オープン 2WD,2000,6MT,95,AP1,3 - 普通,212 ～ 216,2023/11/1,,2000,,パール,AC
ホンダ,S2000 2WD,2004,6MT,93,AP1,3 - 普通,193 ～ 198,2023/7/1,ベースグレード,2000,,シルバー,AC 革
ホンダ,S2000 オープン 2WD,1999,6MT,91,AP1,3 - 普通,219 ~ 223,2024/4/1,ベースグレード,2000,,赤,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2000,6MT,91,AP1,3 - 普通,245 ~ 248,2024/4/1,ベースグレード,2000,7.3,黄,AC
ホンダ,S2000 オープン 2WD,2005,6MT,88,AP1,3 - 普通,263 ～ 268,2024/2/1,ベースグレード,2200,7.12,白,AC NV TV AW 革
ホンダ,S2000 2WD,2006,6MT,88,AP2,3 - 普通,229 ～ 234,2023/7/1,,2000,7.3,シルバー,AC
ホンダ,S2000 2WD,2006,6MT,86,AP2,3 - 普通,276 ～ 281,2023/7/1,ベースグレード,2000,6.1,グレー,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,85,AP1,3 - 普通,263 ～ 269,2023/6/1,,2000,,シルバー,AC 革
ホンダ,S2000 オープン 2WD,2001,6MT,79,AP1,3 - 普通,169 ～ 173,2023/7/1,ベースグレード,2000,,白,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,1999,6MT,77,AP1,3 - 普通,220 ～ 225,2023/12/1,ベースグレード,2000,,青,AC
ホンダ,S2000 オープン 2WD,2000,6MT,76,AP1,3 - 普通,164 ～ 170,2023/10/1,ベースグレード,2000,,ライトブルー,AC
ホンダ,S2000 2WD,2002,6MT,67,AP1,3 - 普通,225 ～ 230,2024/1/1,,2000,7.11,白,AC
ホンダ,S2000 オープン 2WD,2000,6MT,64,AP1,3 - 普通,192 ～ 198,2023/10/1,ベースグレード,2000,,赤,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,1999,6MT,62,AP1,3 - 普通,198 ～ 202,2023/6/1,,2000,,グレー,AC NV TV AW 革
ホンダ,S2000 2WD,1999,6MT,60,AP1,3 - 普通,256 ~ 260,2024/4/1,,2000,,白,AC
ホンダ,S2000 オープン 2WD,2001,6MT,57,AP1,3 - 普通,219 ～ 224,2023/9/1,,,,,白
ホンダ,S2000 2WD,2006,6MT,51,AP2,3 - 普通,302 ～ 307,2023/10/1,ベースグレード,2000,6.3,黒,AC 革
ホンダ,S2000 オープン 2WD,2000,6MT,48,AP1,3 - 普通,212 ～ 218,2023/7/1,ベースグレード,2000,6.6,黄,AC AW 革
ホンダ,S2000 2WD,1999,6MT,47,AP1,3 - 普通,207 ～ 212,2023/12/1,,2000,,パール,AC AW
ホンダ,S2000 2WD,2000,6MT,38,AP1,3 - 普通,195 ～ 198,2023/6/1,ベースグレード,2000,,グレー,AC NV TV AW 革
ホンダ,S2000 オープン 2WD,2008,6MT,36,AP2,3 - 普通,398 ～ 401,2023/6/1,ベースグレード,2000,6.9,シルバー,AC NV TV AW SR 革
ホンダ,S2000 2WD,2000,6MT,34,AP1,3 - 普通,193 ～ 199,2023/6/1,,2000,5.1,グレー,AC NV TV AW SR 革
ホンダ,S2000 オープン 2WD,2006,6MT,29,AP2,3 - 普通,272 ～ 276,2023/9/1,,2000,5.12,黒,AC
ホンダ,S2000 2WD,2003,6MT,12,AP1,3 - 普通,362 ～ 367,2023/10/1,,2200,7.4,白,AC
